日付け,終値
2015.10.15,1490.72
2015.10.16,1505.84
2015.10.19,1494.75
2015.10.20,1499.28
2015.10.21,1526.81
2015.10.22,1518.22
2015.10.23,1547.84
2015.10.26,1558.99
2015.10.27,1543.11
2015.10.28,1547.19
2015.10.29,1547.11
2015.10.30,1558.20
2015.11.2,1526.97
2015.11.4,1540.43
2015.11.5,1555.10
2015.11.6,1563.59
2015.11.9,1590.97
2015.11.10,1589.48
2015.11.11,1595.32
2015.11.12,1593.57
2015.11.13,1585.83
2015.11.16,1571.53
2015.11.17,1586.11
2015.11.18,1586.53
2015.11.19,1600.38
2015.11.20,1603.18
2015.11.24,1605.94
2015.11.25,1594.67
2015.11.26,1602.32
2015.11.27,1594.45
2015.11.30,1580.25
2015.12.1,1601.95
2015.12.2,1602.26
2015.12.3,1602.94
2015.12.4,1574.02
2015.12.7,1585.21
2015.12.8,1568.73
2015.12.9,1555.58
2015.12.10,1540.35
2015.12.11,1549.51
2015.12.14,1527.88
2015.12.15,1502.55
2015.12.16,1540.72
2015.12.17,1564.71
2015.12.18,1537.10
2015.12.21,1531.28
2015.12.22,1533.60
2015.12.24,1523.62
2015.12.25,1516.19
2015.12.28,1529.22
2015.12.29,1543.39
2015.12.30,1547.30
2016.1.4,1509.67
2016.1.5,1504.71
2016.1.6,1488.84
2016.1.7,1457.94
2016.1.8,1447.32
2016.1.12,1401.95
2016.1.13,1442.09
2016.1.14,1406.55
2016.1.15,1402.45
2016.1.18,1387.93
2016.1.19,1390.41
2016.1.20,1338.97
2016.1.21,1301.49
2016.1.22,1374.19
2016.1.25,1392.63
2016.1.26,1360.23
2016.1.27,1400.70
2016.1.28,1392.10
2016.1.29,1432.07
2016.2.1,1462.67
2016.2.2,1452.04
2016.2.3,1406.27
2016.2.4,1388.81
2016.2.5,1368.97
2016.2.8,1380.41
2016.2.9,1304.33
2016.2.10,1264.96
2016.2.12,1196.28
2016.2.15,1292.23
2016.2.16,1297.01
2016.2.17,1282.40
2016.2.18,1311.20
2016.2.19,1291.82
2016.2.22,1300.00
2016.2.23,1291.17
2016.2.24,1284.53
2016.2.25,1307.54
2016.2.26,1311.27
2016.2.29,1297.85
2016.3.1,1300.83
2016.3.2,1349.61
2016.3.3,1369.05
2016.3.4,1375.35
2016.3.7,1361.90
2016.3.8,1347.72
2016.3.9,1332.33
2016.3.10,1352.17
2016.3.11,1359.32
2016.3.14,1379.95
2016.3.15,1372.08
2016.3.16,1360.50
2016.3.17,1358.97
2016.3.18,1345.05
2016.3.22,1369.93
2016.3.23,1364.20
2016.3.24,1354.61
2016.3.25,1366.05
2016.3.28,1381.85
2016.3.29,1377.60
