日付け,終値
2016.9.6,32860
2016.9.7,32420
2016.9.8,32780
2016.9.9,31500
2016.9.12,29300
2016.9.13,30540
2016.9.19,31160
2016.9.20,31700
2016.9.21,31840
2016.9.22,32360
2016.9.23,31420
2016.9.26,31360
2016.9.27,31380
2016.9.28,31340
2016.9.29,32000
2016.9.30,31960
2016.10.4,32280
2016.10.5,32380
2016.10.6,33820
2016.10.7,34120
2016.10.10,33600
2016.10.11,30900
2016.10.12,30700
2016.10.13,31140
2016.10.14,31540
2016.10.17,31800
2016.10.18,31780
2016.10.19,32500
2016.10.20,32400
2016.10.21,31780
2016.10.24,32160
2016.10.25,31940
2016.10.26,31340
2016.10.27,31460
2016.10.28,32280
2016.10.31,32780
2016.11.1,33040
2016.11.2,32860
2016.11.3,32320
2016.11.4,32540
2016.11.7,32800
2016.11.8,32880
2016.11.9,31920
2016.11.10,32980
2016.11.11,31960
2016.11.14,31060
2016.11.15,30780
2016.11.16,31160
2016.11.17,31360
2016.11.18,31720
2016.11.21,31860
2016.11.22,32800
2016.11.23,32980
2016.11.24,33000
2016.11.25,33000
2016.11.28,33540
2016.11.29,33540
2016.11.30,34920
2016.12.1,34980
2016.12.2,34540
2016.12.5,34360
2016.12.6,34960
2016.12.7,35440
2016.12.8,35800
2016.12.9,35600
2016.12.12,35040
2016.12.13,35320
2016.12.14,35540
2016.12.15,35180
2016.12.16,35860
2016.12.19,35900
2016.12.20,36240
2016.12.21,36100
2016.12.22,36180
2016.12.23,35640
2016.12.26,35960
2016.12.27,35980
2016.12.28,35760
2016.12.29,36040
2017.1.2,36100
2017.1.3,36480
2017.1.4,36160
2017.1.5,35560
2017.1.6,36200
2017.1.9,37220
2017.1.10,37240
2017.1.11,38280
2017.1.12,38800
2017.1.13,37460
2017.1.16,36660
2017.1.17,36960
2017.1.18,36940
2017.1.19,37480
2017.1.20,37200
2017.1.23,38060
2017.1.24,38160
2017.1.25,39400
2017.1.26,39900
2017.1.31,39460
2017.2.1,39120
2017.2.2,39360
2017.2.3,39460
2017.2.6,39560
2017.2.7,38820
2017.2.8,38400
2017.2.9,38400
2017.2.10,38360
2017.2.13,37960
2017.2.14,37580
2017.2.15,37720
2017.2.16,38020
2017.2.17,37860
2017.2.20,38660
2017.2.21,38940
2017.2.22,39300
2017.2.23,39180
2017.2.24,38220
2017.2.27,38060
2017.2.28,38440
2017.3.2,39720
2017.3.3,39620
2017.3.6,40080
2017.3.7,40200
2017.3.8,40200
2017.3.9,40200
2017.3.10,40180
2017.3.13,40600
2017.3.14,41360
2017.3.15,41400
2017.3.16,41840
2017.3.17,42400
2017.3.20,41900
2017.3.21,42560
2017.3.22,42460
2017.3.23,41800
2017.3.24,41500
2017.3.27,41200
2017.3.28,41480
2017.3.29,41780
2017.3.30,41980
2017.3.31,41200
2017.4.3,41440
2017.4.4,42080
2017.4.5,42140
2017.4.6,41840
2017.4.7,41600
2017.4.10,41940
2017.4.11,41600
2017.4.12,41900
2017.4.13,42420
2017.4.14,42020
2017.4.17,41560
2017.4.18,41500
2017.4.19,40900
2017.4.20,40280
2017.4.21,40760
2017.4.24,41240
2017.4.25,42700
2017.4.26,42800
2017.4.27,43840
2017.4.28,44620
2017.5.2,44900
2017.5.4,45520
2017.5.8,47020
2017.5.10,45600
2017.5.11,45500
2017.5.12,45820
2017.5.15,46100
2017.5.16,46380
2017.5.17,46340
2017.5.18,45940
2017.5.19,44720
2017.5.22,45100
2017.5.23,44920
2017.5.24,44880
2017.5.25,45680
2017.5.26,46080
2017.5.29,45620
2017.5.30,44640
2017.5.31,44700
2017.6.1,44680
2017.6.2,45960
2017.6.5,45940
2017.6.7,45300
2017.6.8,45160
2017.6.9,46100
2017.6.12,45380
2017.6.13,45400
2017.6.14,45360
2017.6.15,45680
2017.6.16,45580
2017.6.19,46560
2017.6.20,48140
2017.6.21,47480
2017.6.22,47960
2017.6.23,47620
2017.6.26,48280
2017.6.27,48300
2017.6.28,47700
2017.6.29,47940
2017.6.30,47540
2017.7.3,47220
2017.7.4,47000
2017.7.5,47580
2017.7.6,48060
2017.7.7,47860
2017.7.10,48660
2017.7.11,49000
2017.7.12,49880
2017.7.13,50560
2017.7.14,50480
2017.7.17,50640
2017.7.18,50840
2017.7.19,50740
2017.7.20,51200
2017.7.21,51080
2017.7.24,50860
2017.7.25,50000
2017.7.26,49840
2017.7.27,49800
2017.7.28,47760
2017.7.31,48200
2017.8.1,48600
2017.8.2,49000
2017.8.3,47780
2017.8.4,47700
2017.8.7,47580
2017.8.8,47720
